,title,title2
0,Abnormal Antibodies to Self-Carbohydrates in SARS-CoV-2 Infected Patients,Abnormal antibodies to self-carbohydrates in SARS-CoV-2 infected patients
1,Outcomes of COVID-19: disparities by ethnicity,Outcomes of COVID-19: Disparities by ethnicity
2,Electrostatic filters to reduce COVID-19 spread in bubble CPAP: an in vitro study of safety and efficacy.,Electrostatic Filters to Reduce COVID-19 Spread in Bubble CPAP: An in vitro Study of Safety and Efficacy.
3,Evaluating ten commercially-available SARS-CoV-2 rapid serological tests using the STARD (Standards for Reporting of Diagnostic Accuracy Studies) method.,Evaluating Ten Commercially-Available SARS-CoV-2 Rapid Serological Tests Using the STARD (Standards for Reporting of Diagnostic Accuracy Studies) Method.
4,Real-time conformational dynamics of SARS-CoV-2 spikes on virus particles,Real-time Conformational Dynamics of SARS-CoV-2 Spikes on Virus Particles
5,Multiplexed Detection and Quantification of Human Antibody Response to COVID-19 Infection Using a Plasmon Enhanced Biosensor Platform,Multiplexed detection and quantification of human antibody response to COVID-19 infection using a plasmon enhanced biosensor platform
6,The Effect of Area Deprivation on COVID-19 Risk in Louisiana,The effect of area deprivation on COVID-19 risk in Louisiana
7,Outcomes of Persons With COVID-19 in Hospitals With and Without Standard Treatment With (Hydroxy)chloroquine,Outcomes of persons with COVID-19 in hospitals with and without standard treatment with (Hydroxy)chloroquine
8,Extensive Genetic Diversity and Host Range of Rodent-borne Coronaviruses,Extensive Genetic Diversity And Host Range Of Rodent-Borne Coronaviruses
9,Strengthening Policy Coding Methodologies to Improve COVID-19 Disease Modeling and Policy Responses: A Proposed Coding Framework and Recommendations,Strengthening policy coding methodologies to improve COVID-19 disease modeling and policy responses: a proposed coding framework and recommendations
10,"Social Network Analysis of COVID-19 Transmission in Karnataka, India","Social network analysis of COVID-19 transmission in Karnataka, India"
11,Temporal Dynamics of Viral Load and False Negative Rate Influence the Levels of Testing Necessary to Combat COVID19 Spread,Temporal Dynamics of Viral Load and False negative Rate Influence the Levels of Testing Necessary to Combat COVID19 Spread
12,"The impact of the COVID-19 pandemic on rabies reemergence in Latin America: the case of Arequipa, Peru","The Impact of the COVID-19 Pandemic on Rabies Reemergence in Latin America: the case of Arequipa, Peru"
13,Nonstructural protein 1 of SARS-CoV-2 is a potent pathogenicity factor redirecting host protein synthesis machinery toward viral RNA.,Nonstructural Protein 1 of SARS-CoV-2 Is a Potent Pathogenicity Factor Redirecting Host Protein Synthesis Machinery toward Viral RNA.
14,Cross-neutralization of a SARS-CoV-2 antibody to a functionally conserved site is mediated by avidity,Cross-Neutralization of a SARS-CoV-2 Antibody to a Functionally Conserved Site Is Mediated by Avidity
15,INDEPENDENT ASSOCIATION OF METEOROLOGICAL CHARACTERISTICS WITH INITIAL SPREAD OF COVID-19 IN INDIA,Independent Association Of Meteorological Characteristics With Initial Spread Of Covid-19 In India
16,Safety of Hydroxychloroquine among Outpatient Clinical Trial Participants for COVID-19,Safety of Hydroxychloroquine Among Outpatient Clinical Trial Participants for COVID-19
17,Acute Demyelinating Encephalomyelitis (ADEM) in COVID-19 infection: A Case Series.,Acute Demyelinating Encephalomyelitis (ADEM) in COVID-19 Infection: A Case Series.
18,COVID-19 national lockdown in Morocco: impacts on air quality and public health,COVID-19 national lockdown in morocco: Impacts on air quality and public health
19,COVID-19 misinformation: mere harmless delusions or much more? A knowledge and attitude cross-sectional study among the general public residing in Jordan,COVID-19 misinformation: Mere harmless delusions or much more? A knowledge and attitude cross-sectional study among the general public residing in Jordan
20,Conserved Genomic Terminals of SARS-CoV-2 as Co-evolving Functional Elements and Potential Therapeutic Targets,CONSERVED GENOMIC TERMINALS OF SARS-COV-2 AS CO-EVOLVING FUNCTIONAL ELEMENTS AND POTENTIAL THERAPEUTIC TARGETS
21,The Sensitivity of Respiratory Tract Specimens for the Detection of SARS-CoV-2: A Protocol for a Living Systematic Review and Meta-Analysis,The sensitivity of respiratory tract specimens for the detection of SARS-CoV-2: A protocol for a living systematic review and meta-analysis
22,Injury-Prone: Peripheral nerve injuries associated with prone positioning for COVID-19-related acute respiratory distress syndrome,Injury-prone: peripheral nerve injuries associated with prone positioning for COVID-19-related acute respiratory distress syndrome
23,Circulating Markers of Angiogenesis and Endotheliopathy in COVID-19,Circulating markers of angiogenesis and endotheliopathy in COVID-19
24,COVID-19 related concerns of people with long-term respiratory conditions: A qualitative study,COVID-19 related concerns of people with long-term respiratory conditions: a qualitative study
