,month,Abstract,Full,Pdf,metric_link,status_code
767,May 2020Jun 2020,1281,,510,https://medrxiv.org/content/10.1101/2020.05.18.20097444v2.article-metricshttps://medrxiv.org/content/10.1101/2020.05.18.20097444v2.article-metrics,400
768,Aug 2020Sep 2020,2021,,481,https://medrxiv.org/content/10.1101/2020.08.19.20163857v1.article-metricshttps://medrxiv.org/content/10.1101/2020.08.19.20163857v1.article-metrics,400
769,Aug 2020Sep 2020,561,,156,https://medrxiv.org/content/10.1101/2020.08.20.20178509v2.article-metricshttps://medrxiv.org/content/10.1101/2020.08.20.20178509v2.article-metrics,400
770,Aug 2020Sep 2020,18855,,7151,https://medrxiv.org/content/10.1101/2020.08.06.20169573v2.article-metricshttps://medrxiv.org/content/10.1101/2020.08.06.20169573v2.article-metrics,400
771,Oct 2020Nov 2020,1312,89,339,https://biorxiv.org/content/10.1101/2020.10.23.352344v2.article-metricshttps://biorxiv.org/content/10.1101/2020.10.23.352344v2.article-metrics,400
772,Jun 2020Jul 2020,1519,,332,https://medrxiv.org/content/10.1101/2020.05.31.20118760v3.article-metricshttps://medrxiv.org/content/10.1101/2020.05.31.20118760v3.article-metrics,400
773,Sep 2020Oct 2020,644,50,132,https://biorxiv.org/content/10.1101/2020.09.09.273268v1.article-metricshttps://biorxiv.org/content/10.1101/2020.09.09.273268v1.article-metrics,400
774,Jul 2020Aug 2020,768,,163,https://medrxiv.org/content/10.1101/2020.07.20.20158345v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.20.20158345v1.article-metrics,400
775,Mar 2020Apr 2020,1965,0,725,https://medrxiv.org/content/10.1101/2020.03.21.20038778v1.article-metricshttps://medrxiv.org/content/10.1101/2020.03.21.20038778v1.article-metrics,400
776,Jun 2020Jul 2020,1315,,333,https://medrxiv.org/content/10.1101/2020.06.09.20126300v1.article-metricshttps://medrxiv.org/content/10.1101/2020.06.09.20126300v1.article-metrics,400
777,Sep 2020Oct 2020,1478,,337,https://medrxiv.org/content/10.1101/2020.09.25.20195818v1.article-metricshttps://medrxiv.org/content/10.1101/2020.09.25.20195818v1.article-metrics,400
778,Oct 2020Nov 2020,494,23,98,https://medrxiv.org/content/10.1101/2020.10.26.20219634v1.article-metricshttps://medrxiv.org/content/10.1101/2020.10.26.20219634v1.article-metrics,400
779,Aug 2020Sep 2020,984,,411,https://medrxiv.org/content/10.1101/2020.08.12.20173856v1.article-metricshttps://medrxiv.org/content/10.1101/2020.08.12.20173856v1.article-metrics,400
780,Jul 2020Aug 2020,735,,122,https://medrxiv.org/content/10.1101/2020.07.27.20162123v1.article-metricshttps://medrxiv.org/content/10.1101/2020.07.27.20162123v1.article-metrics,400
781,May 2020Jun 2020,930,0,263,https://medrxiv.org/content/10.1101/2020.05.13.20100453v1.article-metricshttps://medrxiv.org/content/10.1101/2020.05.13.20100453v1.article-metrics,400
782,Mar 2020Apr 2020,2042,0,943,https://medrxiv.org/content/10.1101/2020.03.03.20030445v2.article-metricshttps://medrxiv.org/content/10.1101/2020.03.03.20030445v2.article-metrics,400
783,Aug 2020Sep 2020,1145,0,354,https://medrxiv.org/content/10.1101/2020.08.18.20177303v2.article-metricshttps://medrxiv.org/content/10.1101/2020.08.18.20177303v2.article-metrics,400
